id,type,last_name,first_name,gender,birth_year,party,region,position,tiktok_username
2,Person,Abwerzger,Markus,male,1975,FPÖ,Tirol,Landtag,markusabwerzger
5,Person,Ackerl,Alexander,male,1991,SPÖ,Wien,Landtag,alexander.ackerl
7,Person,Aigner,Joachim,male,1976,MFG,Oberösterreich,Landtag,joachimaigner27
17,Person,Angerer,Erwin,male,1964,FPÖ,Kärnten,Landtag,erwin_angerer
20,Person,Antlinger,Thomas,male,1994,SPÖ,Oberösterreich,Landtag,thantlinger
22,Person,Arapović,Selma,female,1976,NEOS,Wien,Landtag,selma.arapovic
23,Person,Arpa,Claudia,female,1967,SPÖ,Österreich,Bundesrat,claudia.arpa
32,Person,Auer,Katrin,female,1974,SPÖ,Österreich,Nationalrat,katrinauer_steyr
33,Person,Auer-Stüger,Stephan,male,1979,SPÖ,Österreich,Bundesrat,stephanauerstueger
34,Person,Auinger-Oberzaucher,Gertraud,female,1971,NEOS,Österreich,Nationalrat,gertiauingeroberzaucher
35,Person,Babler,Andreas,male,1973,SPÖ,Österreich,Bundesregierung,andibabler
41,Person,Bauer,Anne-Sophie,female,1995,GRÜNE,Oberösterreich,Landtag,anne.sophie.bauer
53,Person,Berger,Ricarda,female,1986,FPÖ,Österreich,Nationalrat,ricarda.bianca.berger
59,Person,Berthold,Martina,female,1970,GRÜNE,Salzburg,Landtag,martinaberthold
63,Person,Binder,Reinhold,male,1978,SPÖ,Österreich,Nationalrat,reinhold_binder
64,Person,Bitschi,Christof,male,1991,FPÖ,Vorarlberg,Landesregierung,cbitschi
65,Person,Blanik,Elisabeth,female,1966,SPÖ,Tirol,Landtag,elisabeth.blanik
68,Person,Bocksruker,Jochen,male,1975,SPÖ,Steiermark,Landtag,jochen.bocksruker
71,Person,Bozatemur-Akdag,Aslihan,female,1982,SPÖ,Wien,Landtag,aslihanbozatemur
75,Person,Brandstätter,Helmut,male,1955,NEOS,EU,EP,helmut.brandstaetter
76,Person,Brandstötter,Henrike,female,1975,NEOS,Österreich,Nationalrat,henrike_brandstoetter
77,Person,Brandweiner,Lukas,male,1989,ÖVP,Österreich,Nationalrat,lukas.brandweiner
78,Person,Brenner,Christian,male,1988,FPÖ,Niederösterreich,Landtag,christian.brenner61
80,Person,Brugger,Katrin,female,1974,ÖVP,Tirol,Landtag,katrinbrugger4u
87,Person,Bösch-Vetter,Christine,female,1982,GRÜNE,Vorarlberg,Landtag,christine_boesch_vetter
89,Person,Czernohorszky,Jürgen,male,1977,SPÖ,Wien,Landesregierung,czernohorszky
91,Person,Darmann,Gernot,male,1975,FPÖ,Österreich,Nationalrat,gdarmann
101,Person,Di Bernardo,Markus,male,1990,FPÖ,Kärnten,Landtag,markusdibernardo
106,Person,Disoski,Meri,female,1982,GRÜNE,Österreich,Nationalrat,meri_disoski
109,Person,Dollinger,Karin,female,1969,SPÖ,Salzburg,Landtag,karindollinger
111,Person,Dornauer,Georg,male,1983,parteilos,Tirol,Landtag,georg.dornauer
