,Unnamed: 0,LikeCount,ShareCount,UserID,video_duration,ViewCount,CommentCount,create_time,VidID,party,media_type,text
0,0,28,6,bad_herrenalb,5,1015,1,2026-08-25 19:14:55,7678049861421305121,,video,
1,1,72,1,bad_herrenalb,8,1087,2,2026-08-23 21:50:24,7677347752182959393,,video,
2,2,27,2,bad_herrenalb,8,1332,1,2026-08-21 18:57:59,7676561159603965217,,video,
3,3,19,0,tiktok_buergermeister,73,622,3,2026-08-21 16:05:29,7676516709951393056,CSU,video," Und die dritte Geschichte ist, ich habe mehrere Bürgerbeschwerden nach dem Volksfest der Beratzhausen bekommen, dass es nur 200 Gramm Portionen Käse gegeben hat. Jetzt dachte ich mir, ich kann mich da elegant aus der Verantwortung ziehen und irgendwie sagen, ja, jetzt habe ich beim Festwert beschweren müssen. Das ist jetzt nicht, was das in meinem Zuständigkeitsbereich liegt, aber es stellte sich dann heraus, dass der Festwert bzw. der Caterer vom Festwert, also der, der quasi das Essen verkauft, mehrfach die Leute immer darauf hingewiesen hat, dass es ein expliziter Wunsch des Bürgermeisters sei, nur 200 Gramm Portionen zu verkaufen und dass man sich im Vorfeld auf diese Einheit geeinigt hätte. Mit Gemeinderatsbeschluss, oder? Mit Gemeinderatsbeschluss. Und ja, ich gebe zu, das steht direkt im Volksfestvertrag nach der Präambel. Die beiden Parteien einigen sich auf die Ausrichtung eines Volksfestes. Steht aus Paragraph 2 drunter, der Käse ist in 200 Gramm Portionen zu verkaufen. Das war mir ganz besonders wichtig. So, also welche dieser drei Geschichten stimmen? So, also gehört es."
4,4,61,0,nilsgruender,0,581,1,2026-08-21 07:49:05,7676388779191504161,FDP,photo,
5,5,252,28,benfilter,222,7825,20,2026-08-25 15:03:55,7677985178022661408,AfD,video,
6,6,140,158,afd.kuffert,44,16324,44,2026-08-25 14:09:40,7677971197086174496,AfD,video,
7,7,50,0,benfilter,8,405,2,2026-08-25 13:43:37,7677964478352297248,AfD,video,
8,8,273,34,lhuenich,75,2550,44,2026-08-25 08:36:10,7677885249073859872,AfD,video,
9,9,273,34,lhuenich,75,2550,44,2026-08-25 08:36:10,7677885249073859872,AfD,video,
